ER66001,ER66002,ER67883,ER70882,ER71485,ER71570,ER71571
2,1814,0,1,25300,29.25,17383.837
2,5000,0,1,0,77.178,38866.503
2,7271,0,1,11515,9.653,6429.442
2,8187,0,1,300,40.036,29540.089
2,6110,0,1,116000,23.767,18088.321
2,7477,0,1,8500,4.728,3515.2
2,6214,0,1,2282000,40.888,33209.875
2,8211,0,1,65250,74.233,44156.998
2,8565,0,1,6400,28.798,18780.412
2,6271,0,1,11940,45.24,34370.309
2,6494,0,1,141000,29.74,21782.517
2,6396,0,1,135028,30.957,23272.437
2,7725,0,2,102000,19.486,8789.598
2,4395,0,2,16375,31.681,20388.637
2,2643,0,1,9800,25.545,21231.316
2,3447,0,1,52200,17.546,19973.921
2,3517,1300,1,420,15.477,14340.121
2,2917,0,1,-7700,32.295,26990.814
2,2804,0,1,23000,17.413,16979.073
2,3075,0,1,44000,69.424,37847.287
2,3534,0,1,150000,12.786,8645.647
2,3152,0,1,80000,18.246,11237.632
2,8712,0,1,2810000,20.248,18038.366
2,1312,0,1,76000,10.978,7480.892
2,1290,0,1,37950,11.568,8061.432
2,2312,0,1,30650,5.545,3438.71
2,3914,0,1,719000,30.814,21322.587
2,7133,0,1,46000,7.96,4038.74
2,9560,0,1,153000,17.475,8791.51
2,9499,0,1,-26000,35.016,14726.823
2,4038,0,1,33050,11.284,8230.512
2,9524,0,1,133000,13.874,7131.678
2,8451,0,1,5870,8.82,5978.893
2,1753,0,1,808000,65.501,32844.754
2,1549,0,1,345000,72.008,26885.316
2,2050,0,1,12000,34.378,26688.257
2,2351,0,1,193000,32.614,18118.538
2,1930,0,1,402000,16.437,11661.758
2,2173,0,1,-52475,11.616,6965.926
2,3830,0,1,187000,57.565,28890.619
2,8866,0,1,492000,30.872,20619.357
2,3953,0,1,183000,16.755,7791.942
2,3936,0,1,12000,14.791,6586.331
2,3873,0,1,705000,28.417,13215.548
2,6762,0,1,58000,12.936,9112.332
2,4950,0,1,-10460,33.907,25490.171
2,4393,0,1,7423000,59.99,24232.268
2,7393,0,1,912500,32.044,18684.667
2,9463,0,1,548000,29.332,17733.671
2,9184,0,1,205000,16.113,5816.731
2,5149,0,1,47900,31.857,14555.318
2,4663,0,1,11000,15.67,10372.181
2,4716,0,1,490000,31.815,17302.096
2,4601,0,1,300000,30.741,19920.08
2,6518,0,1,176000,16.432,10190.394
2,4129,0,1,505500,92.334,58177.619
2,8942,0,1,470000,39.401,24768.674
